ID,Burn-ID,Site,Lat,Long,Veg-type,drop-outlier,OzCBI-full
1,ALB040,LFH1,-34.871168,118.245118,LF,No,1.37
2,ALB040,LFH2,-34.871739,118.244054,LF,No,1.41
3,ALB040,LFL1,-34.871702,118.245639,LF,No,0.91
4,ALB040,LFL2,-34.872047,118.244198,LF,No,1.07
5,ALB040,LFM1,-34.871621,118.24537,LF,No,1.24
6,ALB040,LFM2,-34.8722,118.243783,LF,No,0.95
7,ALB040,LFWH10,-34.878487,118.238691,LF,No,1.02
8,ALB040,LFWH2,-34.871035,118.248795,LF,No,1.16
9,ALB040,LFWH3,-34.87647,118.23218,LF,No,1.45
10,ALB040,LFWH4,-34.87896,118.22741,LF,No,1.25
11,ALB040,LFWH5,-34.88282,118.2249,LF,No,1.49
12,ALB040,LFWH6,-34.88823,118.22464,LF,No,1.27
13,ALB040,LFWH7,-34.89259,118.2247,LF,No,1.61
14,ALB040,LFWH8,-34.89782,118.222,LF,No,1.73
15,ALB040,LFWH9,-34.884758,118.236096,LF,No,1.41
16,ALB040,LFWL1,-34.873776,118.248125,LF,No,1.04
17,ALB040,LFWL10,-34.879378,118.237766,LF,No,1.21
18,ALB040,LFWL2,-34.871661,118.249131,LF,No,1.14
19,ALB040,LFWL3,-34.87679,118.23225,LF,No,0.98
20,ALB040,LFWL4,-34.87811,118.22579,LF,No,0.81
21,ALB040,LFWL5,-34.88297,118.22545,LF,No,0.95
22,ALB040,LFWL6,-34.88983,118.22386,LF,No,0.79
23,ALB040,LFWL7,-34.89318,118.22521,LF,No,1.15
24,ALB040,LFWL8,-34.89751,118.22269,LF,No,1.24
25,ALB040,LFWM1,-34.872444,118.249067,LF,No,1.24
26,ALB040,LFWM10,-34.878791,118.238377,LF,No,1.24
27,ALB040,LFWM2,-34.87145,118.249361,LF,No,0.92
28,ALB040,LFWM3,-34.87676,118.23196,LF,No,1.50
29,ALB040,LFWM4,-34.87787,118.22731,LF,No,1.07
30,ALB040,LFWM5,-34.88227,118.22473,LF,No,1.29
31,ALB040,LFWM6,-34.88894,118.22474,LF,No,1.29
32,ALB040,LFWM7,-34.89246,118.22418,LF,No,1.31
33,ALB040,LFWM8,-34.89721,118.22081,LF,No,1.70
34,ALB040,LFWM9,-34.884117,118.236592,LF,No,1.17
35,ALB040,LFWU8,-34.89732,118.22329,LF,Yes,0.00
36,ALB040,MTSH1,-34.89001,118.23225,LF,No,1.68
37,ALB040,MTSL1,-34.88871,118.23304,LF,No,1.39
38,ALB040,MTSM1,-34.88965,118.23289,LF,No,1.50
39,DON051,GExJ6,-34.12778,115.93475,SJ,No,1.66
40,DON051,GExJU11,-34.15953,115.95394,SJ,Yes,0.00
41,DON051,GExK10,-34.15976,115.95334,K,No,1.46
42,DON051,GExM1,-34.19825,115.90242,SJ,No,2.05
43,DON051,GExU,-34.15665,115.93497,SJ,Yes,0.00
44,DON051,GJEx12,-34.15733,115.95184,SJ,No,1.59
45,DON051,GJEx8,-34.16185,115.95126,SJ,No,1.16
46,DON051,GJEx9,-34.16286,115.95251,SJ,No,0.90
47,DON051,GJH1,-34.16484,115.95255,SJ,No,2.22
48,DON051,GJH3,-34.19813,115.90877,SJ,No,2.37
49,DON051,GJH4,-34.16712,115.88987,SJ,No,2.50
50,DON051,GJH9,-34.13959,115.97397,SJ,No,2.13
51,DON051,GJHa,-34.19765,115.89437,SJ,No,2.47
52,DON051,GJL1,-34.16708,115.951,SJ,No,1.33
53,DON051,GJL3,-34.20098,115.91468,SJ,No,1.30
54,DON051,GJL4,-34.17057,115.88876,SJ,No,2.02
55,DON051,GJL5,-34.1514,115.89487,SJ,Yes,1.05
56,DON051,GJL9,-34.13981,115.97298,SJ,No,1.27
57,DON051,GJLa,-34.19682,115.89602,SJ,No,1.24
58,DON051,GJM1,-34.1651,115.95291,SJ,No,2.01
59,DON051,GJM3,-34.19841,115.90673,SJ,No,1.85
60,DON051,GJM4,-34.16722,115.88858,SJ,No,1.45
61,DON051,GJM9,-34.14027,115.97369,SJ,No,1.47
62,DON051,GJMa,-34.19767,115.89772,SJ,No,1.54
63,DON051,GJU3,-34.20241,115.91361,SJ,Yes,0.00
64,DON051,GJU5,-34.15241,115.8957,SJ,No,0.00
65,DON051,GJUa,-34.19658,115.89659,SJ,Yes,0.00
66,DON051,GKEx13,-34.15532,115.93569,K,No,1.56
67,DON051,GKEx3,-34.17923,115.88704,K,No,1.37
68,DON051,GKEx4,-34.17511,115.88249,K,No,1.24
69,DON051,GKEx5,-34.1441,115.91212,K,No,2.08
70,DON051,GKH2,-34.16151,115.94623,K,No,2.55
71,DON051,GKH2a,-34.16337,115.942,K,No,2.53
72,DON051,GKH7,-34.12602,115.93813,K,No,2.02
73,DON051,GKH7b,-34.12425,115.93839,K,No,1.89
74,DON051,GKL10,-34.13135,115.98281,K,No,1.70
75,DON051,GKL10b,-34.1338,115.98083,K,No,2.01
76,DON051,GKLa,-34.19393,115.89804,K,No,1.18
77,DON051,GKLb,-34.19172,115.89947,K,No,1.15
78,DON051,GKM10,-34.1346,115.98065,K,No,1.97
79,DON051,GKM2,-34.16311,115.94367,K,No,2.18
80,DON051,GKM4,-34.14442,115.9096,K,No,1.70
81,DON051,GKM7,-34.12096,115.93917,K,No,1.95
82,DON051,GSH2,-34.19809,115.90484,H,No,1.98
83,DON051,GSH2b,-34.19682,115.89935,H,Yes,2.68
84,DON051,GSL2,-34.19849,115.90492,H,Yes,0.85
85,DON076,YJH1,-34.1981,116.25866,SJ,No,2.67
86,DON076,YJH10,-34.18093,116.29365,SJ,No,2.11
87,DON076,YJH2,-34.19752,116.26388,SJ,No,2.21
88,DON076,YJH3,-34.19593,116.27279,SJ,No,2.10
89,DON076,YJH4,-34.19724,116.28476,SJ,No,2.51
90,DON076,YJH5,-34.19745,116.29565,SJ,No,2.56
91,DON076,YJH6,-34.20741,116.29403,SJ,No,2.35
92,DON076,YJH7,-34.21852,116.2791,SJ,No,2.19
93,DON076,YJH8,-34.2065,116.26414,SJ,No,2.50
94,DON076,YJH9,-34.18948,116.23861,SJ,No,2.19
95,DON076,YJL10,-34.18055,116.29528,SJ,No,1.35
96,DON076,YJL2,-34.19463,116.26242,SJ,No,1.10
97,DON076,YJL3,-34.19274,116.27421,SJ,No,1.18
98,DON076,YJL4,-34.19837,116.28297,SJ,No,1.75
99,DON076,YJL5,-34.19958,116.29437,SJ,No,1.36
100,DON076,YJL6,-34.20825,116.29603,SJ,No,1.38
101,DON076,YJL7,-34.21749,116.28165,SJ,No,1.41
102,DON076,YJL8,-34.20677,116.26207,SJ,No,1.19
103,DON076,YJL9,-34.19061,116.23758,SJ,No,1.08
104,DON076,YJM1,-34.18629,116.25686,SJ,No,1.97
105,DON076,YJM10,-34.18107,116.2947,SJ,No,1.82
106,DON076,YJM2,-34.19665,116.26281,SJ,No,2.17
107,DON076,YJM3,-34.19492,116.2721,SJ,No,1.90
108,DON076,YJM4,-34.19699,116.28139,SJ,No,1.50
109,DON076,YJM5,-34.1981,116.29159,SJ,No,1.83
110,DON076,YJM6,-34.20808,116.2947,SJ,No,2.28
111,DON076,YJM7,-34.21682,116.27939,SJ,No,1.89
112,DON076,YJM8,-34.20795,116.26549,SJ,No,1.66
113,DON076,YJM9,-34.1917,116.23972,SJ,No,2.02
114,DON076,YJU1,-34.18661,116.25886,SJ,No,0.00
115,DON076,YJU10,-34.1802,116.29567,SJ,No,0.00
116,DON076,YJU3,-34.19214,116.27212,SJ,No,0.00
117,DON076,YJU4,-34.19874,116.28139,SJ,No,0.00
118,DON076,YJU5,-34.19739,116.29094,SJ,No,0.00
119,DON076,YJU6,-34.20795,116.29719,SJ,No,0.00
120,DON076,YJU8,-34.20595,116.26178,SJ,No,0.00
121,DON076,YJU9,-34.19145,116.23815,SJ,No,0.00
122,DON078,CJH10,-34.22555,116.35773,SJ,No,2.15
123,DON078,CJH11,-34.22688,116.35291,SJ,No,2.30
124,DON078,CJH4,-34.22285,116.36503,SJ,No,2.36
125,DON078,CJH5,-34.2233,116.36986,SJ,No,2.41
126,DON078,CJH9,-34.2226,116.36036,SJ,No,2.25
127,DON078,CJL1,-34.22936,116.34929,SJ,No,1.81
128,DON078,CJL10,-34.22416,116.35781,SJ,No,1.46
129,DON078,CJL11,-34.22582,116.35314,SJ,No,1.82
130,DON078,CJL4,-34.22415,116.36611,SJ,No,1.47
131,DON078,CJL5,-34.22319,116.36956,SJ,No,1.79
132,DON078,CJL7,-34.22094,166.36631,,No,1.71
133,DON078,CJL9,-34.22196,116.35978,SJ,No,1.55
134,DON078,CJM1,-34.22892,116.34894,SJ,No,2.21
135,DON078,CJM10,-34.22506,116.35782,SJ,No,1.72
136,DON078,CJM11,-34.22641,116.35341,SJ,No,2.24
137,DON078,CJM4,-34.22394,116.36586,SJ,No,1.97
138,DON078,CJM7,-34.22106,116.36984,SJ,No,1.68
139,DON078,CJM9,-34.22159,116.36096,SJ,No,2.18
140,DON079,EJH1,-34.195083,115.858611,SJ,No,2.64
141,DON079,EJH1b,-34.175222,115.857111,SJ,No,2.34
142,DON079,EJH2,-34.189,115.857583,SJ,No,2.53
143,DON079,EJH2b,-34.172611,115.843639,SJ,No,2.25
144,DON079,EJH3,-34.189222,115.856833,SJ,No,2.64
145,DON079,EJH4,-34.191944,115.834556,SJ,No,2.65
146,DON079,EJH6,-34.201917,115.842944,SJ,No,2.54
147,DON079,EJL1,-34.197583,115.860278,SJ,No,1.64
148,DON079,EJL2b,-34.177722,115.84425,SJ,No,1.46
149,DON079,EJL3,-34.191778,115.855167,SJ,No,1.02
150,DON079,EJL6,-34.201611,115.845694,SJ,No,1.31
151,DON079,EJL7,-34.183944,115.820556,SJ,No,1.80
152,DON079,EJM1,-34.197278,115.861389,,No,2.42
153,DON079,EJM1b,-34.175361,115.857278,SJ,No,2.12
154,DON079,EJM2b,-34.178139,115.84925,SJ,No,1.78
155,DON079,EJM3,-34.191056,115.855861,SJ,No,2.21
156,DON079,EJM3b,-34.673528,115.846111,,No,2.15
157,DON079,EJM4,-34.191028,115.835611,SJ,No,1.86
158,DON079,EJM6,-34.202222,115.845444,SJ,No,2.01
159,DON079,EJM7,-34.184944,115.825722,SJ,No,1.86
160,DON079,EKH3,-34.207417,115.846417,K,No,2.02
161,DON079,EKL1,-34.189972,115.879,K,No,2.03
162,DON079,EKL1b,-34.172056,115.851361,K,No,1.98
163,DON079,EKL4,-34.191583,115.843861,K,No,1.98
164,DON079,EKM1b,-34.171333,115.851389,K,No,2.14
165,DON079,EKM3,-34.206528,115.844778,K,No,2.08
166,DON079,EKU1b,-34.179583,115.844806,K,No,1.67
167,DON081,HKH1,-34.46145,115.89837,K,No,2.42
168,DON081,HKH10,-34.44612,115.88711,K,No,2.37
169,DON081,HKH2,-34.46566,115.9051,K,No,2.55
170,DON081,HKH3,-34.47234,115.90013,K,No,2.49
171,DON081,HKH4,-34.47656,115.89511,K,No,2.50
172,DON081,HKH5,-34.46949,115.89008,K,No,2.56
173,DON081,HKH7,-34.4643,115.88351,K,No,2.79
174,DON081,HKH8,-34.45718,115.87983,K,No,2.65
175,DON081,HKH9,-34.45357,115.87927,K,No,2.51
176,DON081,HKL1,-34.45994,115.90248,K,No,1.32
177,DON081,HKL10,-34.44751,115.88588,K,No,1.15
178,DON081,HKL2,-34.46772,115.90675,K,No,1.93
179,DON081,HKL3,-34.4733,115.89909,K,No,1.36
180,DON081,HKL4,-34.47835,115.89314,K,No,1.79
181,DON081,HKL5,-34.4706,115.8885,,No,1.56
182,DON081,HKL7,-34.46358,115.88062,K,No,1.33
183,DON081,HKL8,-34.45752,115.87884,K,Yes,0.00
184,DON081,HKL9,-34.45181,115.88101,K,No,1.48
185,DON081,HKM1,-34.46069,115.90163,K,No,1.93
186,DON081,HKM10,-34.44671,115.88661,K,No,1.93
187,DON081,HKM1b,-34.461,115.89895,K,No,2.08
188,DON081,HKM2,-34.46485,115.90514,K,No,2.39
189,DON081,HKM3,-34.4727,115.90135,K,No,2.58
190,DON081,HKM4,-34.47791,115.89532,K,No,2.56
191,DON081,HKM5,-34.47026,115.89014,K,No,1.90
192,DON081,HKM7,-34.46487,115.88089,K,No,2.01
193,DON081,HKM9,-34.45292,115.8799,K,No,2.43
194,DON081,HKU1,-34.474,115.89974,K,No,1.41
195,DON081,HKU2,-34.47013,115.88676,K,No,1.37
196,DON081,HKU4,-34.4644,115.88189,K,No,1.45
197,DON096,MJH1,-34.16617,116.66808,SJ,No,2.57
198,DON096,MJH1,-34.16561,116.61382,SJ,No,2.66
199,DON096,MJH10,-34.17328,116.63963,SJ,No,2.69
200,DON096,MJH2,-34.16518,116.62659,SJ,No,2.39
201,DON096,MJH4,-34.16002,116.64679,SJ,No,2.32
202,DON096,MJH5,-34.16955,116.65529,SJ,No,2.62
203,DON096,MJH6,-34.17543,116.65508,SJ,No,2.83
204,DON096,MJH7,-34.20085,116.67913,SJ,No,2.32
205,DON096,MJH8,-34.17495,116.70008,SJ,No,2.41
206,DON096,MJH9,-34.17203,116.64187,SJ,No,2.61
207,DON096,MJL1,-34.16399,116.61517,SJ,No,0.79
208,DON096,MJL1,-34.16526,116.66983,SJ,No,1.17
209,DON096,MJL10,-34.17535,116.64165,SJ,No,1.25
210,DON096,MJL2,-34.16386,116.62759,SJ,Yes,0.00
211,DON096,MJL3,-34.16183,116.63468,SJ,No,0.00
212,DON096,MJL3a,-34.16124,116.63403,SJ,No,1.31
213,DON096,MJL4,-34.15777,116.64747,SJ,No,1.08
214,DON096,MJL5,-34.16724,116.6545,SJ,No,0.99
215,DON096,MJL6,-34.1743,116.65232,SJ,No,1.29
216,DON096,MJL7,-34.20194,116.67919,SJ,No,1.00
217,DON096,MJL8,-34.16174,116.66736,SJ,No,1.42
218,DON096,MJL9,-34.17378,116.64249,SJ,Yes,0.00
219,DON096,MJM1,-34.1647,116.61438,SJ,No,2.21
220,DON096,MJM1,-34.16588,116.66875,SJ,No,2.24
221,DON096,MJM10,-34.174,116.64181,SJ,No,2.40
222,DON096,MJM2,-34.16416,116.62945,SJ,No,1.39
223,DON096,MJM3,-34.16058,116.63543,SJ,No,1.87
224,DON096,MJM4,-34.15879,116.64836,SJ,No,1.70
225,DON096,MJM5,-34.16738,116.65733,SJ,No,2.11
226,DON096,MJM6,-34.17506,116.65401,SJ,No,2.40
227,DON096,MJM7,-34.20141,116.67958,SJ,No,2.09
228,DON096,MJM8,-34.16243,116.66724,SJ,No,1.92
229,DON096,MJM9,-34.17392,116.64363,SJ,No,2.34
230,DON096,MJU1,-34.16202,116.63619,SJ,No,0.00
231,DON096,MJU2a,-34.16213,116.62924,SJ,No,0.00
232,DON096,MJU3,-34.15661,116.64684,SJ,No,0.00
233,DON096,MJU4,-34.16645,116.66064,SJ,No,0.00
234,DON096,MJU4a,-34.15871,116.64669,SJ,No,0.00
235,DON096,MJU6,-34.18279,116.65666,SJ,No,0.00
236,DON096,MJU7,-34.20248,116.67933,SJ,No,0.00
237,DON096,MJU8,-34.17374,116.6989,SJ,Yes,0.00
238,DON096,MJWL2,-34.17705,116.61628,W,No,0.84
239,DON096,MWH4,-34.1674,116.6787,W,No,2.28
240,DON096,MWL1,-34.176,116.70247,W,No,0.91
241,DON096,MWL4,-34.16575,116.67833,W,No,1.00
242,DON096,MWM1,-34.17501,116.70227,W,No,2.30
243,DON096,MWM2,-34.17648,116.61615,W,No,2.52
244,DON096,MWM4,-34.17006,116.67956,W,No,2.22
245,DON096,MWU1,-34.16596,116.6729,W,Yes,0.00
246,DON096,MWU2,-34.16619,116.68366,W,No,0.00
247,ESP014,DHH1,-32.4893,121.9207,H,No,2.43
248,ESP014,DHH2,-32.48624,121.92647,H,No,2.60
249,ESP014,DHM1,-32.4892,121.92034,H,No,1.37
250,ESP014,DHU1,-32.48869,121.92047,H,No,0.13
251,ESP014,DHU2,-32.48623,121.9259,H,No,0.65
252,ESP014,DM1,-32.75563,121.9548,M,No,2.43
253,ESP014,DWH3,-32.44275,122.06586,LF,No,2.88
254,ESP014,DWH4,-32.56364,122.08338,LF,No,2.97
255,ESP014,DWH6,-32.60703,122.04724,LF,No,3.00
256,ESP014,DWL10,-32.6071,122.00277,LF,No,1.56
257,ESP014,DWL2,-32.48864,121.92531,LF,No,1.38
258,ESP014,DWL3,-32.49256,121.91893,LF,No,1.31
259,ESP014,DWL4,-32.49444,121.91385,LF,No,1.46
260,ESP014,DWL5,-32.44866,121.97281,LF,No,0.99
261,ESP014,DWL6,-32.44291,122.0368,LF,No,1.58
262,ESP014,DWL7,-32.44954,122.07066,LF,No,1.38
263,ESP014,DWL8,-32.56294,122.08229,LF,No,1.18
264,ESP014,DWL9,-32.60638,122.04765,LF,No,1.20
265,ESP014,DWM10,-32.60581,122.01555,LF,No,1.83
266,ESP014,DWM3,-32.48767,121.92475,LF,No,2.18
267,ESP014,DWM4,-32.49498,121.91879,LF,No,2.48
268,ESP014,DWM5,-32.46244,121.93935,LF,No,1.73
269,ESP014,DWM6,-32.45616,121.94748,LF,No,1.62
270,ESP014,DWM9,-32.60638,122.04727,LF,No,1.92
271,ESP014,DWU3,-32.44488,122.07251,LF,No,0.44
272,ESP015,DMH1,-32.52844,122.25209,M,No,2.86
273,ESP015,DMH4,-32.56557,122.29543,M,No,2.78
274,ESP015,DML1,-32.49198,122.27442,M,No,1.08
275,ESP015,DML2,-32.496,122.26901,M,No,1.63
276,ESP015,DML2,-32.52026,122.25713,M,No,1.19
277,ESP015,DML3,-32.57369,122.31328,M,No,1.32
278,ESP015,DML4,-32.5832,122.33205,M,No,1.01
279,ESP015,DMM1,-32.49132,122.27361,M,No,2.34
280,ESP015,DMM2,-32.49897,122.29811,M,No,2.29
281,ESP015,DMM3,-32.50399,122.27819,M,No,2.10
282,ESP015,DMM5,-32.5032,122.27905,M,No,2.21
283,ESP015,DMM6,-32.52124,122.25782,M,No,1.96
284,ESP015,DMM9,-32.56529,122.29676,M,No,2.51
285,ESP015,DMU2,-32.496,122.26853,M,No,0.38
286,ESP015,DMU3,-32.50366,122.27725,M,No,0.30
287,ESP015,DMU4,-32.54061,122.2734,M,No,0.02
288,ESP015,DWH1,-32.56275,122.29469,LF,No,2.57
289,ESP015,DWL1,-32.49893,122.27742,LF,No,1.37
290,ESP015,DWM1,-32.56223,122.29554,LF,No,1.06
291,ESP015,DWM2,-32.58407,122.34173,LF,No,2.55
292,ESP016,NHH1,-31.88034,121.63882,H,No,2.57
293,ESP016,NHH10,-32.24231,121.31223,H,No,2.89
294,ESP016,NHH2,-31.87991,121.62861,H,No,2.76
295,ESP016,NHH3,-31.88193,121.62668,H,Yes,2.93
296,ESP016,NHH4,-31.83735,121.54546,H,No,2.31
297,ESP016,NHH5,-32.01396,121.63394,H,No,2.60
298,ESP016,NHH7,-32.31891,121.3487,H,Yes,2.83
299,ESP016,NHH8,-32.3152,121.34163,H,No,2.95
300,ESP016,NHL1,-31.89612,121.60349,H,No,1.02
301,ESP016,NHL3,-31.84145,121.5548,H,No,1.46
302,ESP016,NHL4,-32.01895,121.59885,H,No,1.12
303,ESP016,NHL5,-32.01284,121.63375,H,No,1.31
304,ESP016,NHL6,-32.01309,121.63322,H,No,1.10
305,ESP016,NHM1,-31.88107,121.63874,H,No,1.36
306,ESP016,NHM10,-31.85661,121.5871,H,No,1.16
307,ESP016,NHM12,-32.3598,121.34731,H,No,1.91
308,ESP016,NHM13,-32.2906,121.32753,H,No,2.15
309,ESP016,NHM14,-32.25811,121.32858,H,No,1.97
310,ESP016,NHM2,-31.87885,121.62739,H,No,1.46
